"id","name","gender","language","praise_text","meaning","category","keywords"
"42","Lafogido","all","yoruba","Láfógido, ọba àtijọ́ ní Ilé-Ifẹ̀,
Ọmọ tí ìtàn àdììtú ojú-ọjọ́ so mọ́ ọn,
Láfógido, orúkọ tí a kì í gbàgbé nínú àkọsílẹ̀ àwọn Ọọ̀ni,
Láfógido, ẹni tí ìtàn rẹ̀ ti pẹ́ dàgbà nínú ìtàn ẹnu Ifẹ̀,
Láfógido, a kì í ka ìtàn àwọn Ọọ̀ni àkọ́kọ́ láì dárúkọ rẹ̀.","An early ruler of Ile-Ife, remembered in oral tradition among the ancient kings who preceded later Ooni dynasties.","oriki_idile","osun;lineage;ife"
"43","Obalufe","all","yoruba","Ọba-Lùfẹ̀, orúkọ oyè ìjòyè ní Ilé-Ifẹ̀,
Ọmọ tí ń dúró ti àwọn ọmọ Odùduwà ní ìjọba,
Ọba-Lùfẹ̀, a kì í fi ipò rẹ̀ ṣeré láàrin àwọn ọba-ìlú Ifẹ̀,
Ọba-Lùfẹ̀, ọmọ tí ipò rẹ̀ jẹ́ ọ̀kan lára àwọn ẹsẹ̀ ìjọba Ifẹ̀,
Ọba-Lùfẹ̀, a kì í fi ìtẹ́ ìjòyè rẹ̀ sílẹ̀ láàrin ìlú.","One of the senior traditional chieftaincy titles (Obas) within the Ile-Ife kingship structure.","oriki_idile","osun;lineage;ife"
"44","Omisakin","all","yoruba","Ọmisákin, ọmọ tí omi kì í gbé lọ,
Ọmọ ilé Ifẹ̀-Ọ̀ṣun tí ìdúró ṣinṣin jẹ́ àmì rẹ̀,
Ọmisákin, a kì í ṣí kúrò ní ipò rẹ̀,
Ọmisákin, ọmọ tí ìjì kì í mì í, tí ìjà kì í yẹ̀,
Ọmisákin, a kì í fi ìdúró ṣinṣin rẹ̀ ṣe àdàkọ àìmọ̀.","An Ife/Osun lineage name meaning 'water does not sweep me away,' signifying steadfastness and resilience.","oriki_idile","osun;lineage"
"45","Owa Obokun","all","yoruba","Ọwá Obòkun, orúkọ oyè Ọba Ìjẹ̀ṣà ní Ilésà,
Ọmọ tí ìran rẹ̀ ti Ilé-Ifẹ̀ wá sí Ìjẹ̀ṣà,
Ọwá Obòkun, a kì í sọ ìtàn Ìjẹ̀ṣà láì kí ipò rẹ̀,
Ọwá Obòkun, ọba tí ìtàn rẹ̀ dé etí Òkun kí ó tó dé Ilésà,
Ọwá Obòkun, a kì í fi ìjọba Ìjẹ̀ṣà sílẹ̀ láàrin ìtàn Yorùbá.","The royal title of the paramount ruler of Ijesaland, seated in Ilesa, tracing descent from the royal house of Ife.","oriki_idile","osun;lineage;ijesa"
"46","Fajemisin","all","yoruba","Fájẹ́misin, ọmọ tí Ifá gbà kí ó máa sìn,
Ọmọ ilé Ìjẹ̀ṣà tí ìsìn àti ọlá jọ ń tọ̀ lé,
Fájẹ́misin, a kì í fi iṣẹ́ ìsìn dá ọlá tirẹ̀ lẹ́bi,
Fájẹ́misin, ọmọ tí ọwọ́ rẹ̀ mọ́ nínú iṣẹ́ ìbílẹ̀ àti ẹ̀sìn,
Fájẹ́misin, a kì í fi ìdíwọ̀n ìsìn rẹ̀ sílẹ̀ láàrin ìdílé.","An Ijesa lineage name reflecting a family devoted to traditional service and religious duty alongside honor.","oriki_idile","osun;lineage;ijesa"
"47","Adedeji","all","yoruba","Adédéjì, ọmọ tí adé sún mọ́ ilé rẹ̀,
Ọmọ tí ọlá ń jókòó pẹ̀lú láti ìgbà ìbí,
Adédéjì, a kì í ṣí kúrò ní ilé baba rẹ̀,
Adédéjì, ọmọ tí ìtẹ́ ọlá kì í jìnnà sí ìdílé rẹ̀,
Adédéjì, a kì í fi ipò rẹ̀ sílẹ̀ láàrin ìdílé Ọ̀ṣun.","An Osun lineage name meaning 'the crown draws near to my house,' a claim of inherited royal proximity.","oriki_idile","osun;lineage"
"48","Adeoti","all","yoruba","Adéọ̀tí, ọmọ tí a fi adé bọ̀ lọ́wọ́ ìnira,
Ọmọ ilé Ọ̀ṣun tí ààbò ọlá yí i ká,
Adéọ̀tí, a kì í jẹ́ kí ọlá kúrò ní ìdílé rẹ̀,
Adéọ̀tí, ọmọ tí adé rẹ̀ jẹ́ àpáta ààbò fún un,
Adéọ̀tí, a kì í fi ìdílé rẹ̀ sílẹ̀ láìní ààbò.","An Osun lineage name meaning 'crowned and shielded from trouble,' invoking protection paired with royal standing.","oriki_idile","osun;lineage"
"49","Akinyemi","all","yoruba","Akínyẹmí, akin tí ó yẹ orúkọ ìjàgun,
Ọmọ ilé Ọ̀ṣun tí ìgboyà jẹ́ ogún rẹ̀,
Akínyẹmí, a kì í fi ẹ̀rù kan orí rẹ̀,
Akínyẹmí, ọmọ tí ìgboyà rẹ̀ jẹ́ ogún láti ọwọ́ baba ńlá,
Akínyẹmí, a kì í dá padà sẹ́yìn nínú ìjà tàbí ìṣòro.","An Osun lineage name meaning 'bravery befits me,' given to sons expected to inherit courage as tradition.","oriki_idile","osun;lineage"
"50","Awolowo","all","yoruba","Awólọ́wọ́, ọmọ tí Ifá kó sínú ìjọba,
Ọmọ tí ọgbọ́n rẹ̀ mú òmìnira wá sí Ìwọ̀-oòrùn,
Awólọ́wọ́, a kì í gbàgbé nínú ìtàn òṣèlú Yorùbá,
Awólọ́wọ́, ọmọ tí ọgbọ́n rẹ̀ kọ́ àwọn Yorùbá ní ìjọba tí ó dára,
Awólọ́wọ́, a kì í ṣàìdárúkọ ìtàn ìdàgbàsókè Ìwọ̀-oòrùn láì kí orúkọ rẹ̀.","A prominent Yoruba family name; Chief Obafemi Awolowo, first Premier of Western Nigeria, remains its most celebrated bearer.","oriki_idile","osun;lineage;politics"
"51","Adesida","all","yoruba","Adésídà, orúkọ ìdílé Déjì ti Akurẹ́,
Ọmọ tí ìtẹ́ Ondó ń dúró de,
Adésídà, a kì í fi ọlá rẹ̀ sílẹ̀ láàrin àwọn ọba Ondó,
Adésídà, ọmọ tí ìjọba Akurẹ́ ti gbìmọ̀ àtọwọ́dọ́wọ́,
Adésídà, a kì í fi ìtẹ́ Déjì sílẹ̀ láìsí olùsọ́.","The royal lineage name associated with the Deji of Akure's ruling household in Ondo State.","oriki_idile","ondo;lineage;akure"
"52","Adegoroye","all","yoruba","Adégóròyè, ọmọ tí adé ń gbé lọ sí ipò ọlá,
Ọmọ ilé Ondó tí ìtẹ́síwájú jẹ́ àmì rẹ̀,
Adégóròyè, a kì í dúró síbìkan láì gòkè ọlá,
Adégóròyè, ọmọ tí ìdílé rẹ̀ ń gòkè lọ dé ipò gíga,
Adégóròyè, a kì í fi ìtẹ̀síwájú rẹ̀ sílẹ̀ láàrin Ondó.","An Ondo lineage name signifying continual rise toward royal honor and chieftaincy standing.","oriki_idile","ondo;lineage"
"53","Ajapada","all","yoruba","Àjàpádà, ọba àtijọ́ ní ìtàn Ondó,
Ọmọ tí ìpilẹ̀ṣẹ̀ ìlú Ondó so mọ́ ọn,
Àjàpádà, orúkọ tí kò lè yọ nínú ìtàn ìṣílọ Ondó,
Àjàpádà, ẹni tí ìtàn ìdásílẹ̀ ìlú Ondó ti bẹ̀rẹ̀ láti ọwọ́ rẹ̀,
Àjàpádà, a kì í ka ìtàn àwọn baálẹ̀ Ondó àkọ́kọ́ láì dárúkọ rẹ̀.","An early ruler in Ondo oral history, remembered as part of the founding traditions of the town.","oriki_idile","ondo;lineage"
"54","Lisa","all","yoruba","Lísà, orúkọ oyè kejì lẹ́yìn Ọba Ondó,
Ọmọ tí ń ràn Ọba Ondó lọ́wọ́ ìjọba,
Lísà, a kì í fi ipò rẹ̀ tì lẹ́yìn ìtẹ́ Ọba,
Lísà, ọmọ tí ọ̀rọ̀ rẹ̀ ń ràn Osẹ̀mawé lọ́wọ́ ìdájọ́ ìlú,
Lísà, a kì í fi ọ̀rọ̀ ìjọba Ondó sílẹ̀ láìsí ìmọ̀ràn rẹ̀.","A senior chieftaincy title in Ondo, second in rank to the Osemawe, assisting in the administration of the town.","oriki_idile","ondo;lineage;chieftaincy"
"55","Odopetu","all","yoruba","Ọdọ̀pẹ́tù, ọba àkọ́kọ́ nínú ìtàn Ondó,
Ọmọ tí orúkọ rẹ̀ ti ìgbà àtijọ́ ìlú wá,
Ọdọ̀pẹ́tù, a kì í yọ nínú àkọsílẹ̀ àwọn baálẹ̀ Ondó àkọ́kọ́,
Ọdọ̀pẹ́tù, ẹni tí ìtàn Ondó gbé kalẹ̀ láti orí ìran rẹ̀,
Ọdọ̀pẹ́tù, a kì í ka ìtàn ìdásílẹ̀ Ondó láì dárúkọ rẹ̀.","Remembered among the earliest rulers in Ondo town's founding traditions.","oriki_idile","ondo;lineage"
"56","Elemo","all","yoruba","Ẹlẹ́mọ, orúkọ oyè ìjòyè ní Ondó,
Ọmọ tí ń ràn ìjọba ìlú lọ́wọ́ láti ìgbà àtijọ́,
Ẹlẹ́mọ, a kì í fi iṣẹ́ ìjòyè rẹ̀ ṣeré,
Ẹlẹ́mọ, ọmọ tí ìgbìmọ̀ ìlú Ondó ń gbọ́ ohùn rẹ̀,
Ẹlẹ́mọ, a kì í fi ìjọba Ondó sílẹ̀ láìsí ìran rẹ̀.","A traditional chieftaincy title within the Ondo kingdom's council of administrative chiefs.","oriki_idile","ondo;lineage"
"57","Odundun","all","yoruba","Odùndún, ọmọ tí a fi ewé ìwòsàn dá lórúkọ,
Ọmọ ilé Ondó tí ìwòsàn àti ọlá jọ ń tọ̀ lé,
Odùndún, a kì í ṣàìsàn láàrin ìdílé rẹ̀,
Odùndún, ọmọ tí ìtura àti ìwòsàn jẹ́ ogún ìdílé rẹ̀,
Odùndún, a kì í jẹ́ kí àìsàn borí ìdílé rẹ̀.","An Ondo lineage name drawn from the odundun leaf, a plant traditionally associated with healing and coolness.","oriki_idile","ondo;lineage"
"58","Adegbonmire","all","yoruba","Adégbọ́nmirè, ọmọ tí adé ye ọjà ìran rẹ̀,
Ọmọ ilé Owó tí ọlá jẹ́ ogún baba-nlá,
Adégbọ́nmirè, a kì í ṣí ipò rẹ̀ padà,
Adégbọ́nmirè, ọmọ tí ọjà Owó dá lórí ọlá rẹ̀,
Adégbọ́nmirè, a kì í fi ogún ọlá rẹ̀ sílẹ̀ láàrin Owó.","An Ondo/Owo lineage name meaning 'the crown suits my kindred's marketplace of honor,' tied to the Olowo's household.","oriki_idile","ondo;lineage;owo"
"59","Deji","all","yoruba","Déjì, orúkọ oyè Ọba Akurẹ́,
Ọmọ tí ń darí ìlú Akurẹ́ láti ìgbà àtijọ́,
Déjì, a kì í sọ ìtàn Akurẹ́ láì dárúkọ ipò yìí,
Déjì, ọba tí ìtẹ́ rẹ̀ dúró ṣinṣin láàrin ìjọba Ondó,
Déjì, a kì í fi ìtẹ́ Akurẹ́ sílẹ̀ láìsí olórí.","The royal title of the traditional ruler of Akure, one of the principal Yoruba kingdoms in Ondo State.","oriki_idile","ondo;lineage;akure"
"60","Asodeboyede","all","yoruba","Àsòdẹbọ́yèdé, ọmọ ọdẹ tí ọlá dé bá a,
Ọmọ ilé Ondó tí ọdẹ jẹ́ iṣẹ́ àkọ́kọ́ rẹ̀,
Àsòdẹbọ́yèdé, a kì í padà lọ́wọ́ àìlórí ìjà,
Àsòdẹbọ́yèdé, ọmọ tí ọfà rẹ̀ kì í yẹ̀ àfojúsùn,
Àsòdẹbọ́yèdé, a kì í fi ìtàn ọdẹ ìdílé rẹ̀ sílẹ̀ láàrin Ondó.","An Ondo lineage name meaning 'the hunter who honor came to meet,' rooted in a hunting-ancestor tradition.","oriki_idile","ondo;lineage"
"61","Fayemi","all","yoruba","Fáyẹ́mi, ọmọ tí Ifá gbà kí ó yẹ é,
Ọmọ ilé Èkìtì tí ẹ̀kọ́ àti ìjọba jọ ń tọ̀ lé,
Fáyẹ́mi, orúkọ tí ìgbà ìsinsìnyí kò lè gbàgbé,
Fáyẹ́mi, ọmọ tí ìjọba àti ìdàgbàsókè jọ ń rìn pọ̀ nínú ọwọ́ rẹ̀,
Fáyẹ́mi, a kì í fi ìtàn Èkìtì ìgbàlódé sílẹ̀ láì dárúkọ rẹ̀.","An Ekiti lineage name meaning 'Ifa deemed it fitting,' notably borne by a modern governor of Ekiti State.","oriki_idile","ekiti;lineage;politics"
"62","Falayi","all","yoruba","Fálàyí, ọmọ tí Ifá lo àyè fún,
Ọmọ ilé Èkìtì tí ọ̀nà rẹ̀ là láti ọwọ́ àwọn àgbà,
Fálàyí, a kì í sọnù láàrin ọ̀nà ìran rẹ̀,
Fálàyí, ọmọ tí ọ̀nà rẹ̀ ṣí sílẹ̀ láti ọwọ́ Ifá àti àwọn baba ńlá,
Fálàyí, a kì í fi ọ̀nà tí a là fún un ṣe aláìlò.","An Ekiti lineage name invoking the Ifa oracle as the one who cleared and widened the family's path.","oriki_idile","ekiti;lineage"
"63","Akomolafe","all","yoruba","Akọ́mọlàfẹ́, ọmọ tí a kọ́ sínú ọlá àyè,
Ọmọ ilé Èkìtì tí ẹ̀kọ́ ìbílẹ̀ mọ́ ọn dání,
Akọ́mọlàfẹ́, a kì í ṣàìka ìwà rere Ekìtì,
Akọ́mọlàfẹ́, ọmọ tí ìkọ́nilẹ́kọ̀ọ́ àgbà jẹ́ ipìlẹ̀ ìwà rẹ̀,
Akọ́mọlàfẹ́, a kì í fi ẹ̀kọ́ ìbílẹ̀ Èkìtì sílẹ̀ láì bọ̀wọ̀ fún un.","An Ekiti lineage name meaning 'trained/built into a life of honor,' reflecting emphasis on upbringing and character.","oriki_idile","ekiti;lineage"
"64","Adebanjo","all","yoruba","Adébánjọ, ọmọ tí adé bá ìdílé pàdé lọ́nà rere,
Ọmọ ilé Èkìtì tí ọ̀rọ̀ rẹ̀ jẹ́ ìdíwọ̀n òtítọ́,
Adébánjọ, a kì í ṣàìka ìdí ọ̀rọ̀ rẹ̀ sí ìlú,
Adébánjọ, ọmọ tí àwọn àgbà ilú ń gbọ́ ọ̀rọ̀ rẹ̀,
Adébánjọ, a kì í fi ìjọba Èkìtì sílẹ̀ láìsí ohùn rẹ̀.","An Ekiti lineage name meaning 'the crown met the family well,' borne by respected community elders and elder statesmen.","oriki_idile","ekiti;lineage"
"65","Adebayo","all","yoruba","Adébáyọ̀, ọmọ tí adé bá ayọ̀ pàdé,
Ọmọ ilé Èkìtì tí ológun àti ìjọba jọ ń tẹ̀lé,
Adébáyọ̀, a kì í ṣàìmọyọ̀ ní ìdílé rẹ̀,
Adébáyọ̀, ọmọ tí ìdùnnú àti ìjọba jọ ń bá ara wọn rìn,
Adébáyọ̀, a kì í fi ìdílé rẹ̀ sílẹ̀ láìní ayọ̀.","An Ekiti lineage name meaning 'the crown met joy,' historically associated with both military and civic leadership.","oriki_idile","ekiti;lineage"
"66","Elekole","all","yoruba","Ẹlẹ́kọ̀lé, orúkọ oyè Ọba Ìkọ̀lé-Èkìtì,
Ọmọ tí ń darí ìlú Ìkọ̀lé láti ìgbà baba-ńlá,
Ẹlẹ́kọ̀lé, a kì í fi ipò rẹ̀ dá ẹlòmíràn,
Ẹlẹ́kọ̀lé, ọba tí ìtẹ́ rẹ̀ ti dúró láàrin àwọn ìjọba Èkìtì,
Ẹlẹ́kọ̀lé, a kì í fi ìlú Ìkọ̀lé sílẹ̀ láìsí ìtọ́sọ́nà.","The royal title of the traditional ruler of Ikole-Ekiti, one of the sixteen principal kingdoms of Ekiti.","oriki_idile","ekiti;lineage;royalty"
"67","Ogoga","all","yoruba","Ògògà, orúkọ oyè Ọba Ìkẹ̀rẹ̀-Èkìtì,
Ọmọ tí ń jókòó lórí ìtẹ́ ìran àtijọ́ Ìkẹ̀rẹ̀,
Ògògà, a kì í sọ ìtàn Ìkẹ̀rẹ̀ láì dárúkọ oyè yìí,
Ògògà, ọba tí ìjọba rẹ̀ ti gùn ní ọ̀pọ̀lọpọ̀ ìran,
Ògògà, a kì í fi ìlú Ìkẹ̀rẹ̀ sílẹ̀ láìsí olú-adé.","The royal title of the traditional ruler of Ikere-Ekiti, another of the historic Ekiti kingdoms.","oriki_idile","ekiti;lineage;royalty"
"68","Oore","all","yoruba","Ọ̀rẹ̀, orúkọ oyè Ọba Ọ̀tùn-Èkìtì,
Ọmọ tí àwọn Èkìtì ọ̀tọ̀ọ̀tọ̀ ń bọ̀wọ̀ fún,
Ọ̀rẹ̀, a kì í fi ipò rẹ̀ ṣe kékeré láàrin ọba Èkìtì,
Ọ̀rẹ̀, ọba tí ìtẹ́ rẹ̀ so ọ̀pọ̀lọpọ̀ ìlú Èkìtì pọ̀,
Ọ̀rẹ̀, a kì í fi ìlú Ọ̀tùn sílẹ̀ láìsí ìtọ́sọ́nà rẹ̀.","The royal title of the traditional ruler of Otun-Ekiti, respected among the confederation of Ekiti kingdoms.","oriki_idile","ekiti;lineage;royalty"
"69","Arinjale","all","yoruba","Àrìnjalẹ̀, orúkọ oyè Ọba Ìsẹ̀-Èkìtì,
Ọmọ tí ìrìn àjò rẹ̀ dé ipò ọlá,
Àrìnjalẹ̀, a kì í dúró síbìkan láì gòkè ipò,
Àrìnjalẹ̀, ọba tí ìrìn rẹ̀ la ọ̀nà dé ìtẹ́ Ìsẹ̀-Èkìtì,
Àrìnjalẹ̀, a kì í fi ìjọba rẹ̀ sílẹ̀ láàrin àwọn ọba Èkìtì.","The royal title of the traditional ruler of Ise-Ekiti, whose name evokes a journey that arrives at honor.","oriki_idile","ekiti;lineage;royalty"
"70","Olowolafe","all","yoruba","Olówólàfẹ́, ọmọ tí ọlá tí ọrọ̀ jọ ń tọ̀ lé,
Ọmọ ilé Èkìtì tí ọrọ̀ àti ìjọba jọ ń pàdé lára rẹ̀,
Olówólàfẹ́, a kì í ṣàìní ọ̀wọ̀ láàrin àwọn ẹgbẹ́ rẹ̀,
Olówólàfẹ́, ọmọ tí ọrọ̀ rẹ̀ ń fi ọlá kún ilé rẹ̀,
Olówólàfẹ́, a kì í fi ọlá tàbí ọrọ̀ sílẹ̀ láàrin ìdílé.","An Ekiti lineage name meaning 'wealth suits a life of honor,' signifying a family where prosperity and standing meet.","oriki_idile","ekiti;lineage"
"71","Idejo","all","yoruba","Ìdẹ́jọ, ẹ̀ka àwọn ẹlẹ́gbẹ́-funfun ní Èkó,
Àwọn onílẹ̀ àkọ́kọ́ tí wọ́n dá Èkó sílẹ̀ ṣáájú kí Ọba tó dé,
Ìdẹ́jọ, a kì í sọ ìtàn Èkó láì dárúkọ ẹ̀ka yìí,
Ìdẹ́jọ, àwọn tí ìwé-ẹ̀rí ilẹ̀ Èkó ti bẹ̀rẹ̀ láti ọwọ́ wọn,
Ìdẹ́jọ, a kì í fi ilẹ̀ Èkó sílẹ̀ láìsí ìṣàkóso wọn.","The class of White Cap Chiefs in Lagos — the original landowning families recognized as founders of the territory before kingship arrived.","oriki_idile","lagos;lineage"
"72","Oniru","all","yoruba","Oníru, ọ̀kan lára àwọn ẹlẹ́gbẹ́-funfun Èkó,
Ọmọ tí ń darí ilẹ̀ Ìrù ní etí-odò Èkó,
Oníru, a kì í fi ilẹ̀ ìdílé rẹ̀ sílẹ̀ láì bójú tó,
Oníru, ọmọ tí etí-omi Ìrù jẹ́ ogún baba rẹ̀,
Oníru, a kì í fi ìdílé rẹ̀ sílẹ̀ láìsí olùdarí.","One of the White Cap Chiefs of Lagos, traditional custodian of the Iru land area along the Lagos waterfront.","oriki_idile","lagos;lineage"
"73","Elegushi","all","yoruba","Ẹlẹ́gùsí, ọ̀kan lára àwọn ẹlẹ́gbẹ́-funfun Èkó,
Ọmọ tí ń darí ilẹ̀ Ìkátẹ́ ní Lékki,
Ẹlẹ́gùsí, a kì í fi ọlá ilẹ̀ baba rẹ̀ sílẹ̀,
Ẹlẹ́gùsí, ọmọ tí etí-òkun Lékki jẹ́ ogún ìdílé rẹ̀,
Ẹlẹ́gùsí, a kì í fi ilẹ̀ Ìkátẹ́ sílẹ̀ láìsí olùṣọ́.","One of the White Cap Chiefs of Lagos, traditional ruler of the Ikate/Lekki coastal lands.","oriki_idile","lagos;lineage"
"74","Osolo","all","yoruba","Ọ̀sọ̀lọ́, ọ̀kan lára àwọn ẹlẹ́gbẹ́-funfun Èkó,
Ọmọ tí orúkọ rẹ̀ so mọ́ ìtàn ìpilẹ̀ṣẹ̀ Èkó,
Ọ̀sọ̀lọ́, a kì í fi ipò rẹ̀ ṣeré láàrin àwọn ọba-ilẹ̀,
Ọ̀sọ̀lọ́, ọmọ tí ìran rẹ̀ ti wà láti ìgbà ìpilẹ̀ṣẹ̀ Èkó,
Ọ̀sọ̀lọ́, a kì í fi ìtàn Èkó sílẹ̀ láì dárúkọ rẹ̀.","One of the White Cap Chiefs of Lagos, whose lineage is tied into the earliest settlement traditions of the territory.","oriki_idile","lagos;lineage"
"75","Ojora","all","yoruba","Ọjọ̀rà, ọ̀kan lára àwọn ẹlẹ́gbẹ́-funfun Èkó,
Ọmọ tí ń darí ilẹ̀ Ìjọ̀rà ní etí-odò,
Ọjọ̀rà, a kì í fi ilẹ̀ ìdílé rẹ̀ jáde lọ́wọ́,
Ọjọ̀rà, ọmọ tí etí-odò Ìjọ̀rà jẹ́ ogún ìdílé rẹ̀,
Ọjọ̀rà, a kì í fi ilẹ̀ Ìjọ̀rà sílẹ̀ láìsí ìṣàkóso.","One of the White Cap Chiefs of Lagos, traditional custodian of the Ijora riverside lands.","oriki_idile","lagos;lineage"
"76","Aromire","all","yoruba","Àrómírè, ọ̀kan lára àwọn onílẹ̀ àkọ́kọ́ Èkó,
Ọmọ tí a sọ pé ó kọ́kọ́ tẹ ẹsẹ̀ sí ilẹ̀ Èkó,
Àrómírè, a kì í yọ nínú ìtàn ìdásílẹ̀ ìlú,
Àrómírè, ọmọ tí ìtàn ìpilẹ̀ṣẹ̀ Èkó bẹ̀rẹ̀ láti orúkọ rẹ̀,
Àrómírè, a kì í ka ìtàn ìṣíkiri Èkó láì dárúkọ rẹ̀.","One of the earliest recognized settler-chief families of Lagos, credited in tradition as among the first to occupy the land.","oriki_idile","lagos;lineage"
"77","Oloto","all","yoruba","Ọlọ́tọ̀, ọ̀kan lára àwọn ẹlẹ́gbẹ́-funfun Èkó,
Ọmọ tí ń darí ilẹ̀ Ọ̀tọ̀ láti ìgbà àtijọ́,
Ọlọ́tọ̀, a kì í fi ipò ìdílé rẹ̀ ṣe kékeré,
Ọlọ́tọ̀, ọmọ tí ilẹ̀ Ọ̀tọ̀ jẹ́ ogún ìran rẹ̀,
Ọlọ́tọ̀, a kì í fi ilẹ̀ ìdílé rẹ̀ sílẹ̀ láìsí olùdarí.","One of the White Cap Chiefs of Lagos, traditional custodian of the Oto lands.","oriki_idile","lagos;lineage"
"78","Ashipa","all","yoruba","Àṣípa, ológun àkọ́kọ́ tí ó darí Èkó fún Bìní,
Ọmọ tí ìtàn ìṣàkóso Èkó àkọ́kọ́ so mọ́ ọn,
Àṣípa, a kì í yọ nínú àkọsílẹ̀ àwọn baálẹ̀ Èkó àkọ́kọ́,
Àṣípa, ọmọ tí ìjọba Bìní fi ojú sí ìlú Èkó láti ìgbà rẹ̀,
Àṣípa, a kì í ka ìtàn ìjọba Èkó láì dárúkọ rẹ̀.","Remembered as the first warlord installed to oversee Lagos on behalf of the Benin kingdom, a foundational figure in Lagos's early political history.","oriki_idile","lagos;lineage"
"79","Oyekan","all","yoruba","Ọ̀yẹ́kan, orúkọ ìdílé oyè Ọba Èkó,
Ọmọ tí ìtẹ́ Èkó ti gba ní ọ̀pọ̀ ìgbà,
Ọ̀yẹ́kan, a kì í fi ipò ọlá rẹ̀ ṣeré láàrin ìdílé ọba,
Ọ̀yẹ́kan, ọmọ tí ìtẹ́ Èkó ti mọ̀ láti ọ̀pọ̀ ìran,
Ọ̀yẹ́kan, a kì í fi ìtẹ́ Èkó sílẹ̀ láìsí ìdílé rẹ̀.","A Lagos royal lineage name, borne by more than one Oba of Lagos across the history of the throne.","oriki_idile","lagos;lineage;royalty"
"80","Tinubu","all","yoruba","Tinúbú, ọmọ oníṣòwò àti akin obìnrin ní Èkó,
Ọmọ tí ọrọ̀ àti òṣèlú jọ ń tẹ̀lé,
Tinúbú, a kì í gbàgbé nínú ìtàn ìjà òmìnira Èkó,
Tinúbú, ọmọ tí òwò rẹ̀ gbilẹ̀ láàrin ọ̀pọ̀lọpọ̀ etí-òkun,
Tinúbú, a kì í fi ìtàn òṣèlú Èkó ìgbàanì sílẹ̀ láì dárúkọ rẹ̀.","A prominent Lagos family name, most famously linked to Madam Efunroye Tinubu, an influential 19th-century merchant and political figure.","oriki_idile","lagos;lineage"
"81","Afon","all","yoruba","Àfòn, ọmọ ilé Yorùbá ní agbègbè Ìlọrin,
Ọmọ tí ìtàn rẹ̀ dúró ṣinṣin láàrin ìyípadà ìjọba,
Àfòn, a kì í ṣàìka ìpìlẹ̀ṣẹ̀ Yorùbá rẹ̀ nílẹ̀ Ìlọrin,
Àfòn, ọmọ tí ìran rẹ̀ ti kọjá ọ̀pọ̀ ìyípadà ìjọba,
Àfòn, a kì í fi ìdílé rẹ̀ sílẹ̀ láìsí ìdánimọ̀ Yorùbá.","A Yoruba lineage name from the Ilorin area, part of the communities whose history predates and continued through the region's political changes.","oriki_idile","kwara;lineage"
"82","Jimoh","all","yoruba","Jímọ̀, ọmọ ilé Ìlọrin tí ìsìn jẹ́ ìpìlẹ̀ rẹ̀,
Ọmọ tí orúkọ rẹ̀ so mọ́ ọjọ́ ẹ̀sìn ìdílé,
Jímọ̀, a kì í ṣàìka ọlá ìdílé rẹ̀ sí Ìlọrin,
Jímọ̀, ọmọ tí ọjọ́ Jímọ̀ ń rán an létí ìsìn àtọwọ́dọ́wọ́,
Jímọ̀, a kì í fi ìdílé rẹ̀ sílẹ̀ láìsí ìsìn.","An Ilorin Yoruba-Muslim lineage name, often tied to the day of the week and reflecting the region's Islamic heritage.","oriki_idile","kwara;lineage"
"83","Belgore","all","yoruba","Bẹ́lgórè, ọmọ ilé ọlá ní Ìlọrin,
Ọmọ tí òfin àti ìdájọ́ jẹ́ ogún rẹ̀,
Bẹ́lgórè, a kì í fi orúkọ rẹ̀ ṣeré láàrin àwọn adájọ́ ilẹ̀ Nàìjíríà,
Bẹ́lgórè, ọmọ tí ọ̀rọ̀ rẹ̀ jẹ́ òdodo àti òtítọ́ nínú ìdájọ́,
Bẹ́lgórè, a kì í fi orúkọ ìdílé rẹ̀ sílẹ̀ láàrin ilé ẹjọ́.","A respected Ilorin family name notably associated with a lineage of senior jurists and judges in Nigeria.","oriki_idile","kwara;lineage"
"84","Laaro","all","yoruba","Láàrò, ọmọ ilé Ìlọrin tí ọ̀wọ̀ tẹ̀lé orúkọ rẹ̀,
Ọmọ tí ìdílé rẹ̀ ti fìdí kalẹ̀ ní Ìlọrin àtijọ́,
Láàrò, a kì í ṣàìní ipò láàrin ìlú,
Láàrò, ọmọ tí ọ̀wọ̀ ìdílé rẹ̀ ti gùn ní ọ̀pọ̀ ìran,
Láàrò, a kì í fi ipò rẹ̀ sílẹ̀ láàrin ìlú Ìlọrin.","An Ilorin lineage name whose family is long-established within the town's traditional social structure.","oriki_idile","kwara;lineage"
"85","Gobir","all","yoruba","Góbìr, ọmọ ilé tí ìtàn rẹ̀ ti àríwá dé Ìlọrin,
Ọmọ tí ìjọba Ìlọrin gbà á sí ọlá lẹ́yìn ìyípadà,
Góbìr, a kì í sọ ìtàn Ìlọrin lẹ́yìn-jíhádì láì dárúkọ ìdílé rẹ̀,
Góbìr, ọmọ tí ìran rẹ̀ dá pọ̀ mọ́ ìjọba Ìlọrin tuntun,
Góbìr, a kì í fi ìdílé rẹ̀ sílẹ̀ láàrin ìtàn Ìlọrin.","A lineage whose origins trace to Gobir in the north, prominent in Ilorin's ruling structure following the 19th-century jihad and emirate formation.","oriki_idile","kwara;lineage"
